Ticker,Company,Industry,Headquarter,Date added to SP500,Founded,,
XLNX,Xilinx,Information Technology,California,11/8/99,1984,,
ZBRA,Zebra Technologies,Information Technology,Illinois,12/23/19,1969,,
ALB,Albemarle Corporation,Materials,North Carolina,7/1/16,1994,28,
AMCR,Amcor,Materials,Switzerland,6/7/19,1860,,
APD,Air Products & Chemicals,Materials,Pennsylvania,4/30/85,1940,,
AVY,Avery Dennison,Materials,California,12/31/87,1990,,
BLL,Ball Corp,Materials,Colorado,10/31/84,1880,,
CE,Celanese,Materials,Texas,12/24/18,1918,,
CF,CF Industries,Materials,Illinois,8/27/08,1946,,
CTVA,Corteva,Materials,Delaware,6/3/19,2019,,
DD,DuPont,Materials,Delaware,4/2/19,2017,,
DOW,Dow,Materials,Michigan,4/1/19,2019,,
ECL,Ecolab,Materials,Minnesota,1/31/89,1923,,
EMN,Eastman Chemical,Materials,Tennessee,1/1/94,1920,,
FCX,Freeport-McMoRan,Materials,Arizona,,1912,,
FMC,FMC Corporation,Materials,Pennsylvania,8/19/09,1883,,
IFF,International Flavors & Fragrances,Materials,New York,3/31/76,1889,,
IP,International Paper,Materials,Tennessee,3/4/57,1898,,
LIN,Linde,Materials,England,7/1/92,1879,,
LYB,LyondellBasell,Materials,Netherlands,9/5/12,2007,,
MLM,Martin Marietta Materials,Materials,North Carolina,7/2/14,1993,,
MOS,The Mosaic Company,Materials,Florida,9/26/11,1865,,
NEM,Newmont,Materials,Colorado,6/30/69,1921,,
NUE,Nucor,Materials,North Carolina,4/30/85,1940,,
PKG,Packaging Corporation of America,Materials,Illinois,7/26/17,1959,,
PPG,PPG Industries,Materials,Pennsylvania,3/4/57,1883,,
SEE,Sealed Air,Materials,North Carolina,3/4/57,1960,,
SHW,Sherwin-Williams,Materials,Ohio,6/30/64,1866,,
VMC,Vulcan Materials,Materials,Alabama,6/30/99,1909,,
WRK,WestRock,Materials,Georgia,,2015,,
AMT,American Tower,Real Estate,Massachusetts,11/19/07,1995,29,
ARE,Alexandria Real Estate Equities,Real Estate,California,3/20/17,1994,,
AVB,AvalonBay Communities,Real Estate,Virginia[3],1/10/07,1978,,
BXP,Boston Properties,Real Estate,Massachusetts,4/3/06,1970,,
CBRE,CBRE,Real Estate,Texas,11/10/06,1906,,
CCI,Crown Castle,Real Estate,Texas,3/14/12,1994,,
DLR,Digital Realty Trust,Real Estate,Texas,5/18/16,2004,,
DRE,Duke Realty Corp,Real Estate,Indiana,7/26/17,1972,,
EQIX,Equinix,Real Estate,California,3/20/15,1998,,
EQR,Equity Residential,Real Estate,Illinois,12/3/01,1969,,
ESS,Essex Property Trust,Real Estate,California,4/2/14,1971,,
EXR,Extra Space Storage,Real Estate,Utah,1/19/16,1977,,
FRT,Federal Realty Investment Trust,Real Estate,Maryland,2/1/16,1962,,
HST,Host Hotels & Resorts,Real Estate,Maryland,3/20/07,1993,,
IRM,Iron Mountain,Real Estate,Massachusetts,1/6/09,1951,,
KIM,Kimco Realty,Real Estate,New York,4/4/06,1958,,
MAA,Mid-America Apartments,Real Estate,Tennessee,12/2/16,1977,,
O,Realty Income Corporation,Real Estate,California,4/7/15,1969,,
PEAK,Healthpeak Properties,Real Estate,California,3/31/08,1985,,
PLD,Prologis,Real Estate,California,7/17/03,1983,,
PSA,Public Storage,Real Estate,California,8/19/05,1972,,
REG,Regency Centers,Real Estate,Florida,3/2/17,1963,,
SBAC,SBA Communications,Real Estate,Florida,9/1/17,1989,,
SPG,Simon Property Group,Real Estate,Indiana,6/26/02,2003,,
UDR,UDR,Real Estate,Colorado,3/7/16,1972,,
VNO,Vornado Realty Trust,Real Estate,New York,,1982,,
VTR,Ventas,Real Estate,Illinois,3/4/09,1998,,
WELL,Welltower,Real Estate,Ohio,1/30/09,1970,,
WY,Weyerhaeuser,Real Estate,Washington,,1900,,
AEE,Ameren Corp,Utilities,Missouri,9/19/91,1902,28,
AEP,American Electric Power,Utilities,Ohio,3/4/57,1906,,
AES,AES Corp,Utilities,Virginia,10/2/98,1981,,
ATO,Atmos Energy,Utilities,Texas,2/15/19,1906,,
AWK,American Water Works,Utilities,New Jersey,3/4/16,1886,,
CMS,CMS Energy,Utilities,Michigan,5/3/99,1886,,
CNP,CenterPoint Energy,Utilities,Texas,7/31/85,1882,,
D,Dominion Energy,Utilities,Virginia,,1983,,
DTE,DTE Energy,Utilities,Michigan,3/4/57,1995,,
DUK,Duke Energy,Utilities,North Carolina,6/30/76,1904,,
ED,Consolidated Edison,Utilities,New York,,1823,,
EIX,Edison International,Utilities,California,3/4/57,1886,,
ES,Eversource Energy,Utilities,Connecticut,,1966,,
ETR,Entergy,Utilities,Louisiana,3/4/57,1913,,
EVRG,Evergy,Utilities,Missouri,6/5/18,1909,,
EXC,Exelon,Utilities,Illinois,3/4/57,2000,,
FE,FirstEnergy,Utilities,Ohio,,1997,,
LNT,Alliant Energy,Utilities,Wisconsin,7/1/16,1917,,
NEE,NextEra Energy,Utilities,Florida,6/30/76,1925,,
NI,NiSource,Utilities,Indiana,,1912,,
NRG,NRG Energy,Utilities,Texas,1/29/10,1992,,
PEG,Public Service Enterprise Group,Utilities,New Jersey,3/4/57,1903,,
PNW,Pinnacle West Capital,Utilities,Arizona,,1985,,
PPL,PPL,Utilities,Pennsylvania,,1920,,
SO,Southern Company,Utilities,Georgia,3/4/57,1945,,
SRE,Sempra Energy,Utilities,California,,1998,,
WEC,WEC Energy Group,Utilities,Wisconsin,10/31/08,1896,,
XEL,Xcel Energy,Utilities,Minnesota,3/4/57,1909,,Total: 505
