Ticker,Company,Industry,Headquarter,Date added to SP500,Founded,,
WYNN,Wynn Resorts,Consumer Discretionary,Nevada,11/14/08,2002,,
YUM,Yum! Brands,Consumer Discretionary,Kentucky,10/6/97,1997,,
ADM,ADM,Consumer Staples,Illinois,7/29/81,1902,32,
BF-B,Brown-Forman,Consumer Staples,Kentucky,10/31/82,1870,,
CAG,Conagra Brands,Consumer Staples,Illinois,8/31/83,1919,,
CHD,Church & Dwight,Consumer Staples,New Jersey,12/29/15,1847,,
CL,Colgate-Palmolive,Consumer Staples,New York,3/4/57,1806,,
CLX,Clorox,Consumer Staples,California,3/31/69,1913,,
COST,Costco,Consumer Staples,Washington,10/1/93,1976,,
CPB,Campbell Soup,Consumer Staples,New Jersey,3/4/57,1869,,
EL,Estée Lauder Companies,Consumer Staples,New York,1/5/06,1946,,
GIS,General Mills,Consumer Staples,Minnesota,3/31/69,1856,,
HRL,Hormel,Consumer Staples,Minnesota,3/4/09,1891,,
HSY,The Hershey Company,Consumer Staples,Pennsylvania,3/4/57,1894,,
K,Kellogg's,Consumer Staples,Michigan,9/11/89,1906,,
KHC,Kraft Heinz,Consumer Staples,Illinois; Pittsburgh,7/6/15,1869,,
KMB,Kimberly-Clark,Consumer Staples,Texas,3/4/57,1872,,
KO,Coca-Cola,Consumer Staples,Georgia,3/4/57,1886,,
KR,Kroger,Consumer Staples,Ohio,3/4/57,1883,,
LW,Lamb Weston,Consumer Staples,Idaho,12/3/18,1950,,
MDLZ,Mondelez International,Consumer Staples,Illinois,10/2/12,2012,,
MKC,McCormick & Company,Consumer Staples,Maryland,3/20/03,1889,,
MNST,Monster Beverage,Consumer Staples,California,6/28/12,1935,,
MO,Altria Group,Consumer Staples,Virginia,3/4/57,1985,,
PEP,PepsiCo,Consumer Staples,New York,3/4/57,1898,,
PG,Procter & Gamble,Consumer Staples,Ohio,3/4/57,1837,,
PM,Philip Morris International,Consumer Staples,New York,3/31/08,1847,,
SJM,JM Smucker,Consumer Staples,Ohio,11/6/08,1897,,
STZ,Constellation Brands,Consumer Staples,New York,7/1/05,1945,,
SYY,Sysco,Consumer Staples,Texas,12/31/86,1969,,
TAP,Molson Coors,Consumer Staples,Illinois,6/30/76,1786,,
TSN,Tyson Foods,Consumer Staples,Arkansas,8/10/05,1935,,
WBA,Walgreens Boots Alliance,Consumer Staples,Illinois,12/31/79,2014,,
WMT,Walmart,Consumer Staples,Arkansas,8/31/82,1962,,
APA,APA Corporation,Energy,Texas,7/28/97,1954,21,
BKR,Baker Hughes,Energy,Texas,7/7/17,2017,,
COP,ConocoPhillips,Energy,Texas,3/4/57,2002,,
CTRA,Coterra,Energy,Texas,6/23/08,1989,,
CVX,Chevron,Energy,California,3/4/57,1879,,
DVN,Devon Energy,Energy,Oklahoma,8/30/00,1971,,
EOG,EOG Resources,Energy,Texas,11/2/00,1999,,
FANG,Diamondback Energy,Energy,Texas,12/3/18,2007,,
HAL,Halliburton,Energy,Texas,3/4/57,1919,,
HES,Hess Corporation,Energy,New York,5/31/84,1919,,
KMI,Kinder Morgan,Energy,Texas,5/25/12,1997,,
MPC,Marathon Petroleum,Energy,Ohio,7/1/11,1887,,
MRO,Marathon Oil,Energy,Texas,5/1/91,1887,,
OKE,Oneok,Energy,Oklahoma,3/15/10,1906,,
OXY,Occidental Petroleum,Energy,Texas,12/31/82,1920,,
PSX,Phillips 66,Energy,Texas,5/1/12,1917,,
PXD,Pioneer Natural Resources,Energy,Texas,9/24/08,1997,,
SLB,Schlumberger,Energy,Kingdom of the Nethe,3/31/65,1926,,
VLO,Valero Energy,Energy,Texas,,1980,,
WMB,Williams Companies,Energy,Oklahoma,3/31/75,1908,,
XOM,ExxonMobil,Energy,Texas,3/4/57,1999,,
AFL,Aflac,Financials,Georgia,5/28/99,1955,65,
AIG,American International Group,Financials,New York,3/31/80,1919,,
AIZ,Assurant,Financials,New York,4/10/07,1892,,
AJG,Arthur J. Gallagher & Co.,Financials,Illinois,5/31/16,1927,,
ALL,Allstate Corp,Financials,Illinois,7/13/95,1931,,
AMP,Ameriprise Financial,Financials,Minnesota,10/3/05,1894,,
AON,Aon,Financials,UK,4/23/96,1919,,
AXP,American Express,Financials,New York,6/30/76,1850,,
BAC,Bank of America,Financials,North Carolina,6/30/76,1874,,
BEN,Franklin Resources,Financials,California,,1947,,
BK,BNY Mellon,Financials,New York,3/31/95,1784,,
BLK,BlackRock,Financials,New York,4/4/11,1988,,
BRK-B,Berkshire Hathaway,Financials,Nebraska,2/16/10,1839,,
BRO,Brown & Brown,Financials,Florida,9/20/21,1939,,
C,Citigroup,Financials,New York,5/31/88,1998,,
CB,Chubb,Financials,Switzerland,7/15/10,1985,,
CBOE,Cboe Global Markets,Financials,Illinois,3/1/17,1973,,
CFG,Citizens Financial Group,Financials,Rhode Island,1/29/16,1828,,
CINF,Cincinnati Financial,Financials,Ohio,12/18/97,1950,,
CMA,Comerica,Financials,Texas,12/1/95,1849,,
CME,CME Group,Financials,Illinois,8/11/06,1848,,
COF,Capital One,Financials,Virginia,7/1/98,1994,,
DFS,Discover Financial Services,Financials,Illinois,7/2/07,1985,,
FITB,Fifth Third Bancorp,Financials,Ohio,,1858,,
FRC,First Republic Bank,Financials,California,1/2/19,1985,,
GL,Globe Life,Financials,Texas,4/30/89,1900,,
GS,Goldman Sachs,Financials,New York,7/22/02,1869,,
HBAN,Huntington Bancshares,Financials,"Ohio; Detroit, Michi",,1866,,
HIG,The Hartford,Financials,Connecticut,3/4/57,1810,,
ICE,Intercontinental Exchange,Financials,Georgia,9/26/07,2000,,
IVZ,Invesco,Financials,Georgia,8/21/08,1935,,
JPM,JPMorgan Chase,Financials,New York,6/30/75,1799,,
KEY,KeyCorp,Financials,Ohio,3/1/94,1825,,
L,Loews Corporation,Financials,New York,,1959,,
LNC,Lincoln National,Financials,Pennsylvania,6/30/76,1905,,
MCO,Moody's,Financials,New York,,1909,,
MET,MetLife,Financials,New York,,1868,,
MKTX,MarketAxess,Financials,New York,7/1/19,2000,,
MMC,Marsh & McLennan,Financials,New York,8/31/87,1905,,
MS,Morgan Stanley,Financials,New York,,1935,,
MSCI,MSCI,Financials,New York,4/4/18,1969,,
MTB,M&T Bank,Financials,New York,2/23/04,1856,,
NDAQ,Nasdaq,Financials,New York,10/22/08,1971,,
NTRS,Northern Trust,Financials,Illinois,,1889,,
PBCT,People's United Financial,Financials,Connecticut,11/13/08,1842,,
PFG,Principal Financial Group,Financials,Iowa,7/22/02,1879,,
PGR,Progressive Corporation,Financials,Ohio,8/4/97,1937,,
PNC,PNC Financial Services,Financials,Pennsylvania,4/30/88,1845,,
PRU,Prudential Financial,Financials,New Jersey,7/22/02,1875,,
RE,Everest Re,Financials,Bermuda,6/19/17,1973,,
RF,Regions Financial Corporation,Financials,Alabama,8/28/98,1971,,
RJF,Raymond James Financial,Financials,Florida,3/20/17,1962,,
SCHW,Charles Schwab,Financials,Texas,6/2/97,1971,,
SIVB,SVB Financial,Financials,California,3/19/18,1983,,
SPGI,S&P Global,Financials,New York,,1917,,
STT,State Street Corporation,Financials,Massachusetts,,1792,,
SYF,Synchrony Financial,Financials,Connecticut,11/18/15,2003,,
TFC,Truist Financial,Financials,North Carolina,12/4/97,1872,,
TROW,T. Rowe Price,Financials,Maryland,,1937,,
TRV,The Travelers Companies,Financials,New York,8/21/02,1853,,
USB,U.S. Bancorp,Financials,Minnesota,,1968,,
WFC,Wells Fargo,Financials,California,6/30/76,1852,,
,,,,,,,
WRB,W. R. Berkley Corporation,Financials,Connecticut,12/5/19,1967,,
ZION,Zions Bancorp,Financials,Utah,6/22/01,1873,,
A,Agilent Technologies,Health Care,California,6/5/00,1999,64,
ABBV,AbbVie,Health Care,Illinois,12/31/12,1888,,
ABC,AmerisourceBergen,Health Care,Pennsylvania,8/30/01,1985,,
ABMD,Abiomed,Health Care,Massachusetts,5/31/18,1981,,
ABT,Abbott Laboratories,Health Care,Illinois,3/31/64,1888,,
ALGN,Align Technology,Health Care,California,6/19/17,1997,,
AMGN,Amgen,Health Care,California,1/2/92,1980,,
ANTM,Anthem,Health Care,Indiana,7/25/02,1946,,
BAX,Baxter International,Health Care,Illinois,9/30/72,1931,,
BDX,Becton Dickinson,Health Care,New Jersey,9/30/72,1897,,
BIIB,Biogen,Health Care,Massachusetts,11/13/03,1978,,
BIO,Bio-Rad Laboratories,Health Care,California,6/22/20,1952,,
BMY,Bristol Myers Squibb,Health Care,New York,3/4/57,1989,,
BSX,Boston Scientific,Health Care,Massachusetts[4],2/24/95,1979,,
CAH,Cardinal Health,Health Care,Ohio,5/27/97,1971,,
CERN,Cerner,Health Care,Missouri,4/30/10,1979,,
CI,Cigna,Health Care,Connecticut,6/30/76,1982,,
CNC,Centene,Health Care,Missouri,3/30/16,1984,,
COO,The Cooper Companies,Health Care,California,9/23/16,1958,,
CRL,Charles River Laboratories,Health Care,Massachusetts,5/14/21,1947,,
CTLT,Catalent,Health Care,New Jersey,9/21/20,2007,,
CVS,CVS Health,Health Care,Rhode Island,3/4/57,1996,,
DGX,Quest Diagnostics,Health Care,New Jersey,12/12/02,1967,,
DHR,Danaher,Health Care,D.C.,,1969,,
DVA,DaVita,Health Care,Colorado,7/31/08,1979,,
DXCM,DexCom,Health Care,California,5/12/20,1999,,
EW,Edwards Lifesciences,Health Care,California,4/1/11,1958,,
GILD,Gilead Sciences,Health Care,California,7/1/04,1987,,
HCA,HCA Healthcare,Health Care,Tennessee,1/27/15,1968,,
HOLX,Hologic,Health Care,Massachusetts,3/30/16,1985,,
HSIC,Henry Schein,Health Care,New York,3/17/15,1932,,
HUM,Humana,Health Care,Kentucky,,1961,,
IDXX,Idexx Laboratories,Health Care,Maine,1/5/17,1983,,
ILMN,Illumina,Health Care,California,11/19/15,1998,,
INCY,Incyte,Health Care,Delaware,2/28/17,1991,,
IQV,IQVIA,Health Care,North Carolina,8/29/17,1982,,
ISRG,Intuitive Surgical,Health Care,California,6/2/08,1995,,
JNJ,Johnson & Johnson,Health Care,New Jersey,6/30/73,1886,,
LH,LabCorp,Health Care,North Carolina,11/1/04,1978,,
LLY,Eli Lilly,Health Care,Indiana,12/31/70,1876,,
MCK,McKesson Corporation,Health Care,Texas,,1833,,
MDT,Medtronic,Health Care,Ireland,10/31/86,1949,,
MRK,Merck,Health Care,New Jersey,3/4/57,1891,,
MRNA,Moderna,Health Care,Massachusetts,7/21/21,2010,,
MTD,Mettler Toledo,Health Care,Ohio,9/6/16,1945,,
OGN,Organon & Co.,Health Care,New Jersey,6/3/21,2021,,
PFE,Pfizer,Health Care,New York,3/4/57,1849,,
PKI,PerkinElmer,Health Care,Massachusetts,5/31/85,1937,,
REGN,Regeneron Pharmaceuticals,Health Care,New York,5/1/13,1988,,
RMD,ResMed,Health Care,California,7/26/17,1989,,
STE,Steris,Health Care,Ireland,12/23/19,1985,,
SYK,Stryker Corporation,Health Care,Michigan,12/12/00,1941,,
TECH,Bio-Techne,Health Care,Minnesota,8/30/21,1976,,
TFX,Teleflex,Health Care,Pennsylvania,1/18/19,1943,,
TMO,Thermo Fisher Scientific,Health Care,Massachusetts,8/3/04,1902,,
UHS,Universal Health Services,Health Care,Pennsylvania,9/20/14,1979,,
UNH,UnitedHealth Group,Health Care,Minnesota,7/1/94,1977,,
VRTX,Vertex Pharmaceuticals,Health Care,Massachusetts,9/23/13,1989,,
VTRS,Viatris,Health Care,Pennsylvania,4/23/04,1961,,
WAT,Waters Corporation,Health Care,Massachusetts,,1958,,
WST,West Pharmaceutical Services,Health Care,Pennsylvania,5/22/20,1923,,
XRAY,Dentsply Sirona,Health Care,North Carolina,11/14/08,1969,,
ZBH,Zimmer Biomet,Health Care,Indiana,8/7/01,1927,,
ZTS,Zoetis,Health Care,New Jersey,6/21/13,1952,,
AAL,American Airlines Group,Industrials,Texas,3/23/15,1934,74,
ALK,Alaska Air Group,Industrials,Washington,5/13/16,1985,,
